X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,Filing_Date,Purchase_Value
,2025-11-07 21:00:12,2025-11-05,BETA  ,"Beta Technologies, Inc.                          ",Davis Charles A                                           ,Dir                                  ,P - Purchase,$32.98          ,"+2,941,177  ","17,646,445   ",+20% ,"+$97,000,017   ",,,,,2025-11-07,97000017.0
M  ,2025-11-07 18:25:27,2025-11-05,MNRO  ,"Monro, Inc.                                      ",Icahn Carl C                                              ,10%                                  ,P - Purchase,$17.38          ,"+638,659    ","5,078,573    ",+14% ,"+$11,102,374   ",,,,,2025-11-07,11102374.0
M  ,2025-11-03 19:24:11,2025-10-30,MSM   ,Msc Industrial Direct Co Inc                       ,Jacobson Mitchell                                         ,"Dir, 10%                           ",P - Purchase,$84.75          ,"+181,806    ","8,084,735    ",+2%  ,"+$15,408,432   ",,,,,2025-11-03,15408432.0
D  ,2025-10-30 16:31:43,2025-10-28,MPLT  ,"Maplight Therapeutics, Inc.                      ",Novo Holdings A/S                                         ,10%                                  ,P - Purchase,$17.00          ,"+952,941    ","3,686,622    ",+35% ,"+$16,199,997   ",,,,,2025-10-30,16199997.0
D  ,2025-10-29 16:16:55,2025-10-28,MLPT  ,"Maplight Therapeutics, Inc.                      ","Catalyst4, Inc.                                         ",10%                                  ,P - Purchase,$17.00          ,"+5,441,176  ","19,697,464   ",+38% ,"+$92,499,992   ",,,,,2025-10-29,92499992.0
,2025-10-28 18:28:02,2025-10-27,KMI   ,"Kinder Morgan, Inc.                              ",Kinder Richard D                                          ,"Exec COB, 10%                      ",P - Purchase,$25.96          ,"+1,000,000  ","258,086,579  ",0%   ,"+$25,964,900   ",,,,,2025-10-28,25964900.0
,2025-10-17 18:54:20,2025-10-15,SOC   ,Sable Offshore Corp.                               ,Pilgrim Global Icav                                       ,10%                                  ,P - Purchase,$15.04          ,"+982,645    ","10,933,394   ",+10% ,"+$14,777,319   ",,,,,2025-10-17,14777319.0
,2025-10-16 16:45:17,2025-10-14,HYMC  ,Hycroft Mining Holding Corp                        ,Sprott Eric                                               ,10%                                  ,P - Purchase,$6.50           ,"+7,690,000  ","25,225,528   ",+44% ,"+$49,985,000   ",,,,,2025-10-16,49985000.0
,2025-10-14 08:00:05,2025-10-09,GRND  ,Grindr Inc.                                        ,Zage George Raymond III                                   ,"Dir, 10%                           ",P - Purchase,$13.15          ,"+1,000,000  ","94,720,123   ",+1%  ,"+$13,150,000   ",,,,,2025-10-14,13150000.0
M  ,2025-10-07 20:59:19,2025-10-03,SRRK  ,Scholar Rock Holding Corp                          ,Akkaraju Srinivas                                         ,Dir                                  ,P - Purchase,$37.58          ,"+500,439    ","5,824,381    ",+9%  ,"+$18,807,352   ",,,,,2025-10-07,18807352.0
,2025-10-06 18:08:02,2025-10-06,BGC   ,"Bgc Group, Inc.                                  ",Cf Group Management Inc                                   ,"Managing General Partner CFLP, 10% ",P - Purchase,$9.21           ,"+8,973,721  ","105,286,722  ",+9%  ,"+$82,631,818   ",,,,,2025-10-06,82631818.0
,2025-10-06 18:05:26,2025-10-06,BGC   ,"Bgc Group, Inc.                                  ","Cantor Fitzgerald, L. P.                                ","Dir, 10%                           ",P - Purchase,$9.21           ,"+8,973,721  ","102,314,198  ",+10% ,"+$82,631,818   ",,,,,2025-10-06,82631818.0
,2025-10-06 17:57:02,2025-10-06,BGC   ,"Bgc Group, Inc.                                  ",Lutnick Brandon                                           ,"Dir, 10%                           ",P - Purchase,$0.75           ,"+109,833,809","111,393,287  ",>999%,"+$82,631,818   ",,,,,2025-10-06,82631818.0
