Ticker,Filing_Date,Purchase_Value
AARD  ,2025-02-19,20000000.0
AB    ,2024-09-24,17091700.0
AB    ,2024-11-06,24581900.0
AB    ,2025-04-04,757793421.0
ABG   ,2025-08-01,10571698.0
ABOS  ,2023-07-25,39999998.0
ACAD  ,2023-05-24,22707098.0
ACDC  ,2023-03-30,11011988.0
ACDC  ,2024-05-21,13336142.0
ACDC  ,2025-08-18,20000000.0
ACHR  ,2023-10-18,69999504.0
ACHR  ,2024-03-08,15634780.0
ACHR  ,2024-07-03,54999824.0
ACRV  ,2022-11-21,42368750.0
ACRV  ,2024-04-15,20000500.0
ADGI  ,2022-08-19,12194680.0
AEVA  ,2023-11-13,14455501.0
AEVA  ,2025-03-26,11229740.0
AEVA  ,2025-03-31,23284844.0
AEVA  ,2025-05-09,23284844.0
AKRO  ,2023-05-23,15440000.0
AKRO  ,2023-06-15,15440000.0
AKUS  ,2022-12-01,374908350.0
AKYA  ,2023-06-12,10100000.0
ALKT  ,2025-08-13,59376764.0
ALLK  ,2022-09-23,19999680.0
ALMS  ,2024-07-03,120000000.0
ALMS  ,2024-08-27,25000000.0
ALR   ,2023-03-20,29312150.0
ALV   ,2022-08-25,21172795.0
ALV   ,2022-08-31,27874987.0
ALVR  ,2023-06-28,10990763.0
AMAM  ,2023-03-16,10211400.0
AMAM  ,2023-04-17,25319289.0
AMAM  ,2023-04-20,58950690.0
AMAM  ,2023-09-19,19625601.0
AMH   ,2022-05-16,5642437836.0
AMH   ,2022-09-09,15430415.0
AMKR  ,2025-02-26,94999975.0
AMR   ,2025-09-17,16043392.0
AMRZ  ,2025-08-12,51793746.0
ANAB  ,2022-05-09,2948609064.0
ANEB  ,2024-12-26,10000000.0
ANNX  ,2023-02-14,17999994.0
ANTX  ,2023-08-22,16000002.0
AON   ,2024-02-09,15098480.0
APGE  ,2023-07-17,79749992.0
APO   ,2025-04-08,67697526.0
APPN  ,2022-05-09,7222254024.0
APPN  ,2022-05-12,7543235376.0
APPN  ,2022-05-19,2926478532.0
APPN  ,2022-11-14,11730974.0
APPN  ,2023-01-19,11891120.0
APPN  ,2023-01-24,11139394.0
APPN  ,2024-07-09,18941828.0
APPN  ,2024-07-12,18127291.0
APPN  ,2024-07-18,10592253.0
APPN  ,2024-07-31,16724782.0
APPN  ,2024-08-14,12848802.0
APPN  ,2024-08-16,25084825.0
APRN  ,2022-05-02,8159999184.0
APRN  ,2022-08-08,14279998368.0
APRN  ,2022-09-07,76499992.0
AREN  ,2024-02-16,11999999.0
ARTV  ,2024-07-22,49999968.0
ARTV  ,2024-07-24,99999996.0
ASAN  ,2022-09-09,349999986.0
ASAN  ,2023-08-21,13787660.0
ASAN  ,2023-09-12,11142385.0
ASAN  ,2023-09-20,18310600.0
ASAN  ,2023-09-27,17442775.0
ASAN  ,2023-09-29,11689591.0
ASAN  ,2023-10-05,17792950.0
ASH   ,2022-09-06,22460431.0
ASMB  ,2024-12-23,20098464.0
ASPN  ,2022-12-06,100000002.0
ATAI  ,2025-02-19,22755008.0
ATAI  ,2025-08-18,19000000.0
ATXS  ,2024-02-05,29999522.0
AUPH  ,2024-12-09,10822000.0
AUPH  ,2025-03-04,12713126.0
AUPH  ,2025-08-05,13590000.0
AUR   ,2024-05-24,74999997.0
AURA  ,2022-12-07,15000000.0
AURA  ,2023-11-09,14040000.0
AXLA  ,2022-10-17,17029366.0
BBNX  ,2025-02-03,17000000.0
BBY   ,2022-05-27,4059750552.0
BBY   ,2022-06-02,4059750552.0
BCAX  ,2024-09-18,32994000.0
BCYC  ,2024-12-17,21230385.0
BDSX  ,2022-11-21,10000000.0
BDSX  ,2023-01-05,12500000.0
BETA  ,2025-11-07,97000017.0
BGC   ,2025-10-06,247895454.0
BHC   ,2025-06-12,14700257.0
BHC   ,2025-06-17,21170510.0
BHC   ,2025-08-13,21267731.0
BHC   ,2025-08-14,312490062.0
BHVN  ,2022-10-26,40950000.0
